ibge7;Município;Taxa de mortalidade por câncer de colo de útero;Taxa de mortalidade por câncer de mama;Taxa de mortalidade por câncer de pulmão
3103801;Arapuá;0,00;77,04;0,00
3103900;Araújos;0,00;0,00;10,87
3104007;Araxá;1,76;22,86;13,43
3104106;Arceburgo;0,00;0,00;32,69
3104205;Arcos;0,00;19,18;21,73
3104304;Areado;0,00;0,00;14,41
3104403;Argirita;0,00;0,00;74,40
3104452;Aricanduva;0,00;43,16;0,00
3104502;Arinos;11,76;23,53;5,79
3104601;Astolfo Dutra;14,21;56,84;14,15
3104700;Ataléia;14,87;29,74;14,56
3104809;Augusto de Lima;0,00;0,00;0,00
3104908;Baependi;0,00;10,89;5,44
3105004;Baldim;0,00;0,00;13,35
3105103;Bambuí;0,00;16,70;21,24
3105202;Bandeira;43,99;43,99;0,00
3105301;Bandeira do Sul;0,00;33,33;50,48
3105400;Barão de Cocais;0,00;19,08;9,75
3105509;Barão do Monte Alto;0,00;120,82;40,29
3105608;Barbacena;3,04;15,20;15,96
3105707;Barra Longa;0,00;34,83;17,65
3105905;Barroso;0,00;19,36;19,92
3106002;Bela Vista de Minas;0,00;0,00;19,67
3106101;Belmiro Braga;62,00;0,00;0,00
3106200;Belo Horizonte;5,57;25,17;16,11
3106309;Belo Oriente;0,00;8,31;0,00
3106408;Belo Vale;0,00;0,00;0,00
3106507;Berilo;0,00;0,00;10,18
3106655;Berizal;0,00;0,00;23,80
3106606;Bertópolis;0,00;0,00;0,00
3106705;Betim;1,41;14,61;7,28
3106804;Bias Fortes;0,00;0,00;29,75
3106903;Bicas;13,70;0,00;28,62
3107000;Biquinhas;0,00;0,00;0,00
3107109;Boa Esperança;14,88;19,85;7,53
3107208;Bocaina de Minas;0,00;0,00;0,00
3107307;Bocaiúva;4,11;8,22;10,41
3107406;Bom Despacho;0,00;11,35;19,33
3107505;Bom Jardim de Minas;0,00;0,00;0,00
3107604;Bom Jesus da Penha;0,00;45,00;0,00
3107703;Bom Jesus do Amparo;35,22;0,00;17,76
3107802;Bom Jesus do Galho;14,00;28,00;13,76
3107901;Bom Repouso;0,00;0,00;0,00
3108008;Bom Sucesso;0,00;22,96;23,32
3108107;Bonfim;0,00;54,57;26,90
3108206;Bonfinópolis de Minas;0,00;0,00;0,00
3108255;Bonito de Minas;0,00;0,00;9,80
3108305;Borda da Mata;11,61;46,44;17,24
3108404;Botelhos;0,00;0,00;13,49
3108503;Botumirim;36,05;0,00;0,00
3108552;Brasilândia de Minas;13,58;0,00;26,63
3108602;Brasília de Minas;6,20;12,40;3,12
